"","id","full_name","country","year","beauty","geology","ecology","habitat","long_whc","lat_whc","source","buffer","url","mrgid","refid","area_km2"
"1","worldheritagemarineprogramme.1","Aldabra Atoll","Seychelles","1982","1","0","1","1","46.337956","-9.416782689","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/185","26836","185",495
"2","worldheritagemarineprogramme.2","Archipiélago de Revillagigedo","Mexico","2016","1","0","1","1","-110.9752778","18.78805556","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1510","64215","1510",6375
"3","worldheritagemarineprogramme.3","Archipiélago de Revillagigedo","Mexico","2016","1","0","1","1","-110.9752778","18.78805556","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/1510","64215","1510",141764
"4","worldheritagemarineprogramme.4","Area de Conservación Guanacaste","Costa Rica","1999","0","0","1","1","-85.81603029","10.76320069","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/928","26837","928",1452
"5","worldheritagemarineprogramme.5","Banc d'Arguin National Park","Mauritania","1989","0","0","1","1","-16.4035691","20.0775406","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/506","26838","506",11958
"6","worldheritagemarineprogramme.6","Belize Barrier Reef Reserve System","Belize","1996","1","0","1","1","-88.29657984","16.1918208","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/764","26841","764",1187
"7","worldheritagemarineprogramme.7","Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves","Brazil","2001","1","0","1","1","-32.48522706","-3.863308708","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1000","26839","1000",140
"8","worldheritagemarineprogramme.8","Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves","Brazil","2001","1","0","1","1","-32.48522706","-3.863308708","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/1000","26839","1000",1232
"9","worldheritagemarineprogramme.21","Heard and McDonald Islands","Australia","1997","0","1","1","0","73.28683225","-53.05144156","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/577","26850","577",6454
"10","worldheritagemarineprogramme.51","St Kilda","United Kingdom","1986","1","0","1","1","-8.563979245","57.83800533","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/387","26873","387",254
"11","worldheritagemarineprogramme.9","Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves","Brazil","2001","1","0","1","1","-32.48522706","-3.863308708","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/1000","26839","1000",714
"12","worldheritagemarineprogramme.10","Cocos Island National Park","Costa Rica","1997","0","0","1","1","-87.06074916","5.534002772","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/820","26840","820",1864
"13","worldheritagemarineprogramme.11","Coiba National Park and its Special Zone of Marine Protection","Panama","2005","0","0","1","1","-82.03907867","7.518494481","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1138","26842","1138",2550
"14","worldheritagemarineprogramme.12","Coiba National Park and its Special Zone of Marine Protection","Panama","2005","0","0","1","1","-82.03907867","7.518494481","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/1138","26842","1138",1784
"15","worldheritagemarineprogramme.13","East Rennell","Solomon Islands","1998","0","0","1","0","160.5121938","-11.78894516","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/854","26843","854",856
"16","worldheritagemarineprogramme.45","Sanganeb Marine National Park and Dungonab Bay - Mukkawar Island Marine National Park","Sudan","2016","1","0","1","1","37.44305556","19.73611111","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/262","64218","262",5292
"17","worldheritagemarineprogramme.46","Shark Bay, Western Australia","Australia","1991","1","1","1","1","113.5498838","-25.71188698","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/578","26869","578",22001
"18","worldheritagemarineprogramme.47","Shiretoko","Japan","2005","0","0","1","1","145.2478022","44.23202931","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1193","26870","1193",710
"19","worldheritagemarineprogramme.14","Everglades National Park","United States of America","1979","0","1","1","1","-80.87574282","25.16861954","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/76","26844","76",5828
"20","worldheritagemarineprogramme.15","French Austral Lands and Seas","France","2019","1","0","1","1","69.35280556","-49.38036111","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1603","64216","1603",672333
"21","worldheritagemarineprogramme.16","Galápagos Islands","Ecuador","1978","1","1","1","1","-90.71501874","-0.144178196","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1","26845","1",150038
"22","worldheritagemarineprogramme.17","Gough and Inaccessible Islands","United Kingdom","1995","1","0","0","1","-12.73756676","-37.28701158","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/740","26846","740",3992
"23","worldheritagemarineprogramme.18","Great Barrier Reef","Australia","1981","1","1","1","1","148.3766488","-18.50451593","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/154","26847","154",348383
"24","worldheritagemarineprogramme.19","Gulf of Porto: Calanche of Piana, Gulf of Girolata, Scandola Reserve","France","1983","1","1","0","1","8.596866451","42.32010441","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/258","26848","258",122
"25","worldheritagemarineprogramme.20","Ha Long Bay","Vietnam","1994","1","1","0","0","107.1715799","20.84306074","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/672","26849","672",472
"26","worldheritagemarineprogramme.22","High Coast / Kvarken Archipelago","Finland/Sweden","2000","0","1","0","0","19.99388069","63.14790751","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/898","26851","898",3555
"27","worldheritagemarineprogramme.23","Ibiza, Biodiversity and Culture","Spain","1999","0","0","1","1","1.427016605","38.79227063","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/417","26852","417",89
"28","worldheritagemarineprogramme.24","Ibiza, Biodiversity and Culture","Spain","1999","0","0","1","1","1.427016605","38.79227063","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/417","26852","417",76
"29","worldheritagemarineprogramme.25","iSimangaliso Wetland Park","South Africa","1999","1","0","1","1","32.64618107","-27.7916481","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/914","26853","914",2521
"30","worldheritagemarineprogramme.26","Islands and Protected Areas of the Gulf of California","Mexico","2005","1","0","1","1","-109.8483646","22.8780386","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1182","26854","1182",22743
"31","worldheritagemarineprogramme.27","Kluane / Wrangell-St Elias / Glacier Bay / Tatshenshini-Alsek","Canada/United States of America","1979","1","1","1","1","-140.2559777","60.65638244","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/72","26855","72",97629
"32","worldheritagemarineprogramme.28","Komodo National Park","Indonesia","1991","1","0","0","1","119.5493411","-8.641674896","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/609","26856","609",1774
"33","worldheritagemarineprogramme.29","Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems","France","2008","1","0","1","1","166.8751079","-22.92273374","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1115","26857","1115",17350
"34","worldheritagemarineprogramme.30","Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems","France","2008","1","0","1","1","166.8751079","-22.92273374","UNESCO World Heritage Centre","true","http://whc.unesco.org/en/list/1115","26857","1115",6846
"35","worldheritagemarineprogramme.31","Lord Howe Island Group","Australia","1982","1","0","0","1","159.0883333","-31.56555556","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/186","64217","186",1461
"36","worldheritagemarineprogramme.42","Rock Islands Southern Lagoon","Palau","2012","1","0","1","1","134.2822457","7.214764643","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1386","26868","1386",1005
"37","worldheritagemarineprogramme.32","Macquarie Island","Australia","1997","1","1","0","0","158.8640486","-54.62970302","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/629","26858","629",5572
"38","worldheritagemarineprogramme.33","Malpelo Fauna and Flora Sanctuary","Colombia","2006","1","0","1","0","-78.21426654","2.955504257","UNESCO World Heritage Centre","false","http://whc.unesco.org/en/list/1216","26859","1216",9579
